NewsID,informativeness_score
N55528,0.9387
N19639,0.9034
N61837,0.9302
N53526,0.9822
N38324,0.9496
N2073,0.9231
N49186,0.868
N59295,0.8569
N24510,0.9109
N39237,0.8805
N9721,0.5718
N60905,0.9176
N39758,0.9118
N28361,0.9005
N18680,0.9232
N55610,0.9399
N35621,0.9522
N22850,0.9302
N58173,0.9791
N29120,0.9505
N9786,0.8946
N47705,0.943
N3574,0.731
N42474,0.9863
N64498,0.8915
N7517,0.7746
N63665,0.9519
N59469,0.9137
N57356,0.9482
N15926,0.9591
N43620,0.9595
N60603,0.8312
N40078,0.9433
N61409,0.9535
N46013,0.9207
N50643,0.8848
N60723,0.938
N63175,0.8962
N22028,0.93
N8795,0.9661
N43647,0.8628
N41835,0.8949
N8071,0.9105
N26926,0.9329
N49265,0.9529
N5124,0.9467
N42777,0.926
N41387,0.9517
N41106,0.8904
N37243,0.9138
N20139,0.9467
N9680,0.8767
N35518,0.8909
N60434,0.9739
N48239,0.9757
N40045,0.8361
N43946,0.8468
N10836,0.9391
N49585,0.9582
N24798,0.9102
N64668,0.9595
N27435,0.8664
N3395,0.8647
N53133,0.881
N30702,0.9676
N14538,0.8913
N37188,0.8915
N1032,0.8904
N30953,0.9018
N10886,0.9115
N52386,0.8522
N22218,0.9625
N57388,0.9887
N30389,0.9511
N16104,0.9423
N25540,0.8995
N51343,0.9109
N60774,0.9353
N37129,0.9227
N64723,0.9203
N3080,0.9409
N40494,0.7853
N15839,0.9066
N19163,0.9591
N13343,0.9641
N60852,0.9126
N61864,0.9224
N36064,0.9275
N35788,0.9447
N61167,0.9521
N27190,0.8742
N9035,0.8331
N19651,0.9081
N22957,0.8732
N63006,0.9664
N5159,0.9928
N47685,0.9739
N44720,0.8124
N55024,0.9182
N44162,0.9562
N52683,0.9663
N8185,0.9814
N1358,0.9612
N39817,0.9828
N54799,0.9124
N34169,0.9651
N33303,0.9279
N51340,0.9182
N46021,0.8777
N13855,0.8592
N16556,0.8402
N22679,0.9811
N24423,0.817
N20084,0.9375
N18393,0.8994
N7141,0.9288
N11663,0.9726
N55435,0.7315
N39173,0.9475
N33874,0.9866
N44661,0.8969
N41976,0.9329
N36820,0.9772
N54727,0.9025
N11683,0.9167
N19401,0.9524
N31442,0.9614
N47214,0.8571
N31402,0.9857
N61358,0.9795
N48632,0.9154
N57699,0.9413
N27214,0.9032
N25174,0.8781
N51426,0.9249
N41013,0.9791
N19888,0.8781
N45191,0.4191
N60535,0.8936
N47600,0.9696
N35318,0.9581
N11360,0.8982
N13566,0.8741
N24417,0.963
N59891,0.7361
N30236,0.9037
N64593,0.9549
N45970,0.8936
N54542,0.8495
N30290,0.979
N51844,0.9431
N7992,0.3447
N49374,0.934
N14176,0.9261
N60584,0.9754
N10,0.9496
N46830,0.9613
N41147,0.9131
N61914,0.9508
N21253,0.983
N24905,0.9908
N65207,0.9374
N16430,0.9407
N35616,0.967
N23386,0.945
N43484,0.8671
N59794,0.9158
N15483,0.8406
N62736,0.9157
N35080,0.9699
N19146,0.977
N17041,0.8777
N48072,0.7979
N18287,0.9073
N41146,0.9463
N31161,0.8997
N37461,0.9323
N39490,0.9244
N8691,0.8714
N26444,0.9719
N30868,0.9806
N56406,0.8221
N56618,0.9367
N5373,0.9385
N36464,0.9234
N38308,0.9672
N12440,0.76
N2540,0.9471
N42716,0.8844
N39638,0.971
N24900,0.8847
N9947,0.9357
N25567,0.9113
N25205,0.9147
N61681,0.9819
N59709,0.9596
N57930,0.9552
N9013,0.8827
N15651,0.9414
N63682,0.9917
N51784,0.9548
N41869,0.9749
N13882,0.9596
N6258,0.9547
N27641,0.854
N50246,0.9504
N60798,0.9283
N37423,0.8942
N23937,0.9365
N43734,0.9449
N11593,0.9558
N27715,0.9526
N23874,0.8987
N3565,0.9389
N26766,0.885
N61203,0.8759
N1244,0.8406
N9774,0.886
N10538,0.8579
N20833,0.9634
N5815,0.9836
N46851,0.9326
N59874,0.9449
N19513,0.9644
N3649,0.968
N6632,0.8112
N28561,0.8691
N25024,0.9414
N41208,0.9809
N61178,0.8309
N4015,0.9205
N4586,0.9184
N32515,0.9813
N4147,0.9118
N58146,0.9168
N34122,0.9224
N3528,0.913
N39809,0.9757
N1810,0.995
N14042,0.866
N12081,0.8946
N58073,0.9015
N27287,0.843
N48549,0.8287
N52529,0.9216
N16077,0.9061
N27063,0.9628
N13305,0.9815
N7348,0.9106
N49134,0.7659
N34722,0.8959
N5599,0.8683
N49830,0.9464
N36911,0.8836
N27394,0.9225
N65217,0.9466
N49369,0.9334
N64413,0.9504
N37414,0.7541
N27137,0.9172
N34406,0.8127
N9,0.9568
N15254,0.9035
N33161,0.9534
N55248,0.8943
N7771,0.8343
N30781,0.9208
N31552,0.8398
N30344,0.903
N19490,0.9539
N48774,0.9653
N39751,0.8916
N17108,0.8828
N28035,0.9535
N49198,0.9685
N28442,0.9727
N62084,0.8653
N5754,0.8751
N60941,0.9073
N19262,0.8078
N20723,0.8986
N35774,0.96
N43916,0.8456
N20513,0.8746
N8798,0.8794
N10376,0.9756
N24868,0.9162
N7951,0.79
N60467,0.7121
N58332,0.5405
N18885,0.8459
N21041,0.8136
N16032,0.9585
N21936,0.9626
N27822,0.9931
N44133,0.8381
N61079,0.9742
N55625,0.9304
N46832,0.9771
N44959,0.9838
N17286,0.9922
N56461,0.9691
N7362,0.9545
N51425,0.959
N20743,0.9524
N21383,0.9008
N30012,0.9228
N38397,0.9424
N33942,0.9531
N56840,0.9431
N10122,0.9486
N50158,0.8935
N1586,0.9671
N32006,0.9365
N9900,0.9157
N46688,0.9102
N6536,0.8846
N24153,0.896
N3570,0.8987
N7182,0.9002
N50742,0.9451
N25631,0.9136
N19028,0.9423
N51601,0.9305
N38633,0.974
N11161,0.9293
N47866,0.9299
N45493,0.9067
N32907,0.952
N17602,0.95
N65225,0.9357
N49505,0.9398
N57991,0.9558
N45908,0.7029
N54975,0.9096
N42669,0.8384
N58551,0.9565
N54064,0.8974
N46428,0.9021
N4021,0.9461
N59255,0.7996
N17430,0.8827
N25604,0.9061
N63270,0.8894
N59271,0.8254
N59418,0.9551
N34242,0.9026
N63651,0.8861
N37957,0.9756
N33458,0.9387
N18854,0.8913
N22033,0.6752
N61084,0.9803
N228,0.9093
N12987,0.8711
N20818,0.8889
N31633,0.9173
N4489,0.9373
N12676,0.8931
N42607,0.9484
N18012,0.8047
N33521,0.9474
N50208,0.9149
N42908,0.9037
N47966,0.9065
N55337,0.954
N5485,0.9548
N39336,0.8236
N33371,0.9672
N16764,0.8915
N732,0.9281
N31527,0.6636
N14607,0.9546
N48806,0.9451
N43467,0.8464
N50299,0.8015
N10220,0.9098
N1734,0.8967
N20106,0.9604
N57075,0.9708
N21311,0.9687
N37736,0.9719
N62787,0.9119
N49363,0.9068
N20620,0.8464
N47287,0.8539
N39535,0.8947
N21243,0.9109
N38578,0.9281
N47123,0.9476
N12638,0.8308
N54623,0.9153
N42227,0.9732
N43966,0.9238
N49375,0.7866
N58574,0.981
N6950,0.9623
N7716,0.8887
N32749,0.9571
N44066,0.9705
N6191,0.7945
