UserID,NewsID,quality
U100,N7800,0
U1000,N53875,0
U1000,N29739,0
U1000,N7670,0
U1000,N58656,0
U10001,N35937,0
U10001,N1031,0
U10001,N10833,0
U10003,N57090,0
U10003,N55689,0
U10003,N18708,0
U10008,N15405,0
U10010,N14592,0
U10010,N28213,0
U10011,N24078,1
U10011,N26706,1
U10011,N1604,0
U10011,N35170,0
U10012,N732,0
U10012,N83,0
U10012,N64174,0
U10014,N63656,0
U10014,N35170,0
U10015,N7121,0
U10016,N45317,0
U10016,N29739,0
U10017,N52180,0
U10017,N35815,0
U10017,N36226,0
U10017,N34185,0
U1002,N35729,0
U1002,N35172,0
U10022,N33981,0
U10022,N51346,0
U10022,N26331,0
U10022,N31978,0
U10022,N32544,0
U10022,N6066,0
U10022,N20746,0
U10022,N38779,0
U10022,N29212,0
U10022,N61740,0
U10022,N41717,0
U10023,N3123,0
U10023,N57426,0
U10023,N55949,0
U10023,N41122,0
U10023,N23446,1
U10023,N32567,1
U10023,N42457,0
U10024,N10350,0
U10024,N46029,0
U10025,N59981,0
U10025,N45016,0
U10025,N31947,0
U10025,N37079,0
U10025,N6056,0
U10025,N33619,0
U10025,N26262,1
U10025,N3841,0
U10025,N24473,0
U10025,N57426,0
U10026,N38779,0
U10027,N58363,0
U10027,N21741,0
U10027,N24176,0
U10027,N27289,0
U10027,N6975,0
U10027,N35336,0
U10027,N50007,0
U10027,N45266,0
U10027,N8015,0
U10027,N23749,0
U10027,N14436,0
U10027,N59761,0
U10027,N58660,1
U10027,N59462,1
U10027,N34668,0
U10027,N62992,0
U10027,N48613,0
U10027,N12682,0
U1003,N11856,0
U1003,N62360,0
U1003,N48063,0
U1003,N287,0
U1003,N21420,0
U10030,N36681,0
U10030,N64252,0
U10030,N56214,0
U10030,N14285,0
U10032,N61760,0
U10032,N26227,1
U10032,N7821,0
U10032,N59981,1
U10032,N28279,0
U10032,N49956,0
U10032,N9621,1
U10032,N55325,0
U10032,N44249,0
U10034,N35671,0
U10034,N43502,0
U10034,N55204,0
